Area,Oxygen,Temperature,Humidity,Fire Occurrence
Amazon Rainforest (Brazil),40,45,20,1
Black Forest (Germany),50,30,10,1
Taiga Forest (Russia),10,20,70,0
Bia?owie?a Forest (Poland/Belarus),60,45,70,1
Yellowstone National Park (USA),30,48,10,1
Yosemite National Park (USA),50,15,30,0
Great Bear Rainforest (Canada),5,35,35,0
Kinabalu Park (Malaysia),5,20,70,0
Gunung Leuser National Park (Indonesia),60,32,19,1
Congo Rainforest (Central Africa),30,50,45,1
Sumatran Rainforest (Indonesia),40,55,80,1
Tikal National Park (Guatemala),30,39,100,0
Daintree Rainforest (Australia),10,12,12,0
New Forest (United Kingdom),20,23,23,0
Choco Rainforest (Colombia/Ecuador),60,34,15,1
Khao Yai National Park (Thailand),80,4,68,0
Hoh Rainforest (USA),25,56,79,1
Tongass National Forest (USA),12,45,90,0
Kakadu National Park (Australia),28,43,15,1
Namdapha National Park (India),26,0,32,0
Amazon Rainforest (Peru),32,37,21,1
Bwindi Impenetrable Forest (Uganda),45,48,12,1
Monteverde Cloud Forest (Costa Rica),56,15,65,0
Black Forest (Germany),67,45,33,1
Pacific Temperate Rainforest (Canada),78,49,8,1
Redwood National Park (USA),89,45,18,1
Tien Shan Forests (Kyrgyzstan),21,12,44,0
Andean Cloud Forests (Peru),11,20,59,0
Valdivian Rainforest (Chile/Argentina),1,32,70,0
Southeast Asian Rainforest (Malaysia/Indonesia),5,20,45,0
Kruger National Park (South Africa),42,43,20,1
Khuvsgul Lake National Park (Mongolia),32,60,30,1
Berchtesgaden National Park (Germany),5,15,5,0
Snowdonia National Park (Wales),20,30,5,0
Aokigahara Forest (Japan),30,51,2,1
La Amistad International Park (Costa Rica/Panama),60,60,10,1
Yosemite National Park (USA),10,10,60,0
Mount Rwenzori National Park (Uganda),0,30,0,0
Sagarmatha National Park (Nepal),45,45,15,1
